mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,778.4849992750275,2719.954904721288,3052.728496054114
mps-uncap,0.9,786.1948552877599,3096.1012920879366,3391.1402278354717
mps-uncap,1.0,789.9876586036764,3159.4287070697856,3370.961727475892
mps-uncap,0.5,477.25662880297097,1687.4449334636354,1850.1541131957288
mps-uncap,0.6,587.3234651195042,1965.6511415477391,2258.160402332053
mps-uncap,0.7,700.8647176653965,2348.8769311898564,2751.6046206926444
mps-uncap,0.1,100.2384280378088,334.9188577208284,390.1094925904513
mps-uncap,0.2,191.73935605341626,662.612228183075,710.0004823029809
mps-uncap,0.3,294.8250343142213,999.4999707754675,1074.444836016435
mps-uncap,0.4,396.44509609202464,1332.6441057184627,1521.8652531064015
