mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,4.0988922119140625,4.11677360534668,7.28154182434082
mps-uncap,0.9,4.186153411865234,4.1332244873046875,7.744550704956055
mps-uncap,1.0,4.119873046875,4.15492057800293,7.58814811706543
mps-uncap,0.5,4.0454864501953125,4.087686538696289,6.794452667236328
mps-uncap,0.6,3.9663314819335938,4.033803939819336,6.80232048034668
mps-uncap,0.7,4.094362258911133,4.10914421081543,6.859779357910156
mps-uncap,0.1,4.391670227050781,4.334688186645508,6.872653961181641
mps-uncap,0.2,4.034757614135742,4.126310348510742,6.850957870483398
mps-uncap,0.3,4.017829895019531,4.105806350708008,6.804227828979492
mps-uncap,0.4,4.081487655639648,4.098415374755859,6.493806838989258
