mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,5.987143516540527,6.177449226379396,9.872817993164062
mps-uncap,0.9,6.013154983520508,5.960059165954591,9.879112243652344
mps-uncap,1.0,5.974006652832031,5.9629201889038095,10.024309158325195
mps-uncap,0.5,5.836963653564453,6.4515113830566415,10.655117034912108
mps-uncap,0.6,5.835843086242676,6.496024131774902,10.402369499206543
mps-uncap,0.7,5.588102340698243,6.761932373046875,10.31947135925293
mps-uncap,0.1,9.973621368408203,10.154008865356445,11.963462829589844
mps-uncap,0.2,9.520387649536133,9.822654724121094,11.261487007141115
mps-uncap,0.3,7.632970809936523,8.295774459838867,11.144900321960451
mps-uncap,0.4,6.113529205322266,6.681466102600099,11.133193969726562
