mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,54.06391620635986,9.400606155395508,26.58843994140625
mps-uncap,0.9,4292.611360549927,312.1715784072876,179.28671836853027
mps-uncap,1.0,5900.500774383545,1915.9382581710815,4375.371694564819
mps-uncap,0.5,1.1491775512695312,0.5838871002197266,0.023365020751953125
mps-uncap,0.6,3.3513307571411133,2.169370651245117,3.6536455154418945
mps-uncap,0.7,6.646394729614258,5.826473236083984,9.861230850219727
mps-uncap,0.1,0.030517578125,0.030755996704101562,0.03790855407714844
mps-uncap,0.2,0.030040740966796875,0.0286102294921875,0.028848648071289062
mps-uncap,0.3,0.027418136596679688,0.023603439331054688,0.025510787963867188
mps-uncap,0.4,0.022649765014648438,0.021219253540039062,0.020503997802734375
