mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,4.045724868774414,4.072666168212891,6.852865219116211
mps-uncap,0.9,4.026889801025391,4.055500030517578,7.732868194580078
mps-uncap,1.0,4.033803939819336,4.031181335449219,7.57598876953125
mps-uncap,0.5,4.012346267700195,4.059553146362305,6.55817985534668
mps-uncap,0.6,3.950357437133789,3.9892196655273438,6.779909133911133
mps-uncap,0.7,4.04667854309082,4.067659378051758,6.808757781982422
mps-uncap,0.1,4.047393798828125,4.319190979003906,6.839513778686523
mps-uncap,0.2,4.013299942016602,4.086494445800781,6.832599639892578
mps-uncap,0.3,3.9911270141601562,4.055500030517578,6.790399551391602
mps-uncap,0.4,4.047632217407227,4.070043563842773,6.458044052124023
