mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,4.675030708312988,4.854321479797363,9.17041301727295
mps-uncap,0.9,5.195856094360352,5.0868988037109375,9.342432022094727
mps-uncap,1.0,5.195379257202148,5.083322525024414,9.388446807861328
mps-uncap,0.5,4.311800003051758,4.531741142272949,8.0718994140625
mps-uncap,0.6,4.223823547363281,4.4242143630981445,8.231163024902344
mps-uncap,0.7,4.309654235839844,4.809379577636719,8.934259414672852
mps-uncap,0.1,9.541749954223633,9.651899337768555,9.423017501831055
mps-uncap,0.2,7.868051528930664,8.51297378540039,9.03940200805664
mps-uncap,0.3,5.541563034057617,6.109476089477539,8.027315139770508
mps-uncap,0.4,4.485845565795898,4.863619804382324,8.039236068725586
