mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,277.512526512146,39.356756210327156,108.4472417831421
mps-uncap,0.9,7572.888946533203,521.7740535736084,586.767578125
mps-uncap,1.0,10926.64759159088,3330.4585218429565,6737.839937210083
mps-uncap,0.5,13.372516632080078,13.044214248657227,20.213031768798825
mps-uncap,0.6,19.089221954345707,16.083478927612305,27.0420789718628
mps-uncap,0.7,28.356361389160167,26.513147354125977,44.84653472900391
mps-uncap,0.1,15.72761535644531,15.154600143432617,12.67938613891602
mps-uncap,0.2,15.834808349609375,15.937137603759762,14.611792564392095
mps-uncap,0.3,13.501787185668945,13.231754302978516,16.377687454223633
mps-uncap,0.4,11.270284652709961,11.376905441284181,18.27239990234375
