mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,345.7768964767456,57.89616346359251,191.1406946182251
mps-uncap,0.9,8367.53776550293,598.9791321754456,801.81303024292
mps-uncap,1.0,11653.906040191647,3721.6898369789124,7621.091814041138
mps-uncap,0.5,18.483419418334936,18.28040599822999,24.889886379241933
mps-uncap,0.6,31.40199184417726,27.74062156677244,38.53697299957299
mps-uncap,0.7,44.78548526763912,36.42691612243654,78.01027774810792
mps-uncap,0.1,13.610610961914064,15.47914743423462,8.8530445098877
mps-uncap,0.2,17.65926361083984,17.06196784973158,13.372554779052736
mps-uncap,0.3,16.162838935852047,15.909206867218002,16.78105354309077
mps-uncap,0.4,13.28032016754148,13.611800670623804,20.485973358154226
