mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,0.010013580322265625,0.009298324584960938,0.009298324584960938
mps-uncap,0.9,0.011920928955078125,0.009775161743164062,0.011205673217773438
mps-uncap,1.0,0.011682510375976562,0.011920928955078125,0.012159347534179688
mps-uncap,0.5,0.009059906005859375,0.010013580322265625,0.0095367431640625
mps-uncap,0.6,0.0095367431640625,0.009775161743164062,0.009775161743164062
mps-uncap,0.7,0.01049041748046875,0.009775161743164062,0.010013580322265625
mps-uncap,0.1,0.014781951904296875,0.015497207641601562,0.015020370483398438
mps-uncap,0.2,0.012159347534179688,0.011682510375976562,0.013828277587890625
mps-uncap,0.3,0.009775161743164062,0.01049041748046875,0.011205673217773438
mps-uncap,0.4,0.010013580322265625,0.0095367431640625,0.010967254638671875
