mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,1.0,2847.309283085655,587.1133583513155,322.3952579727492
mig,1.0,3116.277514147936,450.27411756294015,294.74519907343694
