mode,load,0_densenet161-4,1_densenet169-4,2_resnet34-2
mps-uncap,0.6,142.08907301380185,134.37092002918618,315.3220768656457
mig,0.6,139.95548461337995,137.11770114852612,316.1934746877788
mps-uncap,0.7,164.98892298640652,159.0249670682081,371.73571737374664
mig,0.7,167.42963592702057,162.9546655867411,370.86080962912456
mps-uncap,0.8,190.16282599060364,181.09543311427004,420.19958866803415
mig,0.8,183.27296402499584,178.88454537531842,421.6910519520087
mps-uncap,0.9,213.36882507187084,210.68427671705396,470.7787545505653
mig,0.9,218.77368395237912,207.6569550316075,469.7802753514164
mps-uncap,1.0,230.35530002187005,225.1179401582518,525.6870124484809
mig,1.0,238.43525218250232,225.74219921940065,525.7137233368163
mps-uncap,1.1,231.83885289943566,230.31709825800192,535.1354853649619
mig,1.1,241.20131819027182,228.6861312354582,526.1823247881069
mps-uncap,1.2,233.61119579038294,225.71196995334248,535.4195958060694
mig,1.2,237.49138507745363,230.23467465206647,527.3982262589859
mps-uncap,1.3,230.67064815466983,227.4441945905618,560.5041635850798
mig,1.3,238.33983321489666,234.02171535247092,530.3699677266799
