mode,load,0_densenet161-4,1_densenet169-4,2_resnet34-2
mps-uncap,0.6,39.58659172058104,34.22040939331057,6.977939605712891
mig,0.6,34.344768524169915,35.329580307006836,7.582092285156252
mps-uncap,0.7,51.1491060256958,55.39743900299073,9.096288681030272
mig,0.7,45.93691825866699,57.12237358093262,13.328456878662111
mps-uncap,0.8,81.82787895202637,102.8742790222168,15.32092094421387
mig,0.8,67.60993003845219,88.22774887084962,15.685796737670898
mps-uncap,0.9,366.8231964111328,322.98502922058134,32.58538246154785
mig,0.9,196.68757915496826,235.29744148254395,28.643965721130378
mps-uncap,1.0,2673.8661527633667,3102.0360708236694,122.46756553649907
mig,1.0,1478.0874729156494,1458.5333585739136,200.14579296112058
mps-uncap,1.1,10288.597679138185,7252.731490135193,5497.436571121217
mig,1.1,8422.92275428772,6030.051207542422,7266.226196289063
mps-uncap,1.2,14199.18155670166,16020.124912261967,13107.29331970215
mig,1.2,14172.805070877075,12429.794788360596,13798.581981658936
mps-uncap,1.3,19838.184356689457,18663.34400177002,14367.693424224854
mig,1.3,19943.52490901947,18527.531480789185,17975.314140319824
