mode,load,0_densenet161-4,1_densenet169-4,2_resnet34-2
mps-uncap,0.6,163.7423038482666,117.84815788269043,28.264522552490234
mig,0.6,132.63893127441406,140.3193473815918,27.95720100402832
mps-uncap,0.7,182.33942985534668,208.9524269104004,36.26704216003418
mig,0.7,214.8268222808838,166.51320457458496,65.09566307067871
mps-uncap,0.8,230.0281524658203,316.3604736328125,54.86774444580078
mig,0.8,212.6445770263672,243.23797225952148,48.139333724975586
mps-uncap,0.9,726.5162467956543,678.1549453735352,74.8748779296875
mig,0.9,427.14905738830566,486.3901138305664,103.26385498046875
mps-uncap,1.0,2953.681468963623,3561.983823776245,221.5895652770996
mig,1.0,1705.113410949707,1709.5961570739746,295.06587982177734
mps-uncap,1.1,11714.125871658325,8141.432523727417,6114.6559715271
mig,1.1,8738.801002502441,7024.372577667236,8541.587114334106
mps-uncap,1.2,15533.601522445679,18014.04047012329,14625.890254974365
mig,1.2,16210.004091262817,13817.24762916565,15388.14401626587
mps-uncap,1.3,22157.97185897827,20887.264013290405,15875.725746154785
mig,1.3,21712.87250518799,20649.61266517639,19865.286350250244
