mode,load,0_densenet161-4,1_densenet169-4,2_resnet34-2
mps-uncap,0.6,25.10857582092285,20.720958709716797,16.564369201660156
mig,0.6,26.421308517456055,25.18010139465332,16.881227493286133
mps-uncap,0.7,29.665231704711914,29.859542846679688,13.491630554199219
mig,0.7,27.100801467895508,22.220134735107422,6.403923034667969
mps-uncap,0.8,28.285741806030273,20.569801330566406,17.643451690673828
mig,0.8,26.50761604309082,21.078109741210938,10.401487350463867
mps-uncap,0.9,29.112815856933594,24.89304542541504,17.467975616455078
mig,0.9,32.19461441040039,26.81255340576172,15.876293182373047
mps-uncap,1.0,28.771162033081055,27.604103088378906,12.06827163696289
mig,1.0,26.265621185302734,22.542238235473633,15.843391418457031
mps-uncap,1.1,30.89761734008789,30.16352653503418,17.114639282226562
mig,1.1,26.55172348022461,24.40333366394043,16.66092872619629
mps-uncap,1.2,25.81191062927246,27.867555618286133,17.661094665527344
mig,1.2,28.249263763427734,28.41973304748535,17.74430274963379
mps-uncap,1.3,30.115842819213867,27.411460876464844,13.688325881958008
mig,1.3,28.24115753173828,25.307416915893555,14.615535736083984
