mode,load,0_densenet161-4,1_densenet169-4,2_resnet34-2
mps-uncap,0.6,17.865276336669922,18.094921112060547,4.055500030517578
mig,0.6,17.535924911499023,18.142223358154297,4.067516326904297
mps-uncap,0.7,17.393112182617188,17.84839630126953,3.7698745727539062
mig,0.7,17.0346736907959,17.88172721862793,4.016637802124023
mps-uncap,0.8,17.346858978271484,17.870187759399414,3.9980411529541016
mig,0.8,17.016077041625977,17.556381225585938,3.8886070251464844
mps-uncap,0.9,17.443418502807617,17.710161209106445,4.062175750732422
mig,0.9,16.84432029724121,17.702651023864746,3.839731216430664
mps-uncap,1.0,17.41917133331299,17.817974090576172,4.098153114318848
mig,1.0,16.826152801513672,17.679214477539062,3.813505172729492
mps-uncap,1.1,17.575979232788086,17.454862594604492,4.0569305419921875
mig,1.1,16.6628360748291,17.533302307128906,3.8645267486572266
mps-uncap,1.2,17.24529266357422,17.853283882141113,4.12297248840332
mig,1.2,16.940832138061523,17.46964454650879,3.866434097290039
mps-uncap,1.3,17.71388053894043,17.69108772277832,3.6426782608032227
mig,1.3,16.936850547790527,17.26372241973877,3.8499832153320312
