mode,load,0_inception_v3-32,1_densenet161-2,2_mobilenet_v2-16
mps-uncap,1.0,18.884897232055664,17.713069915771484,4.174709320068359
mig,1.0,19.50836181640625,16.285181045532227,9.634971618652344
