mode,load,0_inception_v3-32,1_densenet161-2,2_mobilenet_v2-16
mps-uncap,1.0,20.8024263381958,27.312088012695312,7.519102096557617
mig,1.0,20.555663108825684,16.710996627807617,10.33487319946289
