mode,load,0_inception_v3-32,1_densenet161-2,2_mobilenet_v2-16
mps-uncap,1.0,31.731605529785156,37.60552406311035,17.14015007019043
mig,1.0,33.41817855834961,27.62460708618164,22.5064754486084
