mode,load,0_inception_v3-32,1_densenet161-2,2_mobilenet_v2-16
mps-uncap,1.0,0.0007152557373046875,0.0021457672119140625,0.0054836273193359375
mig,1.0,0.000476837158203125,0.000476837158203125,0.003814697265625
