mode,load,0_inception_v3-32,1_densenet161-2,2_mobilenet_v2-16
mps-uncap,1.0,1590.277179557027,80.34690381573662,2767.4870000396763
mig,1.0,1588.1827985929772,120.98806583746625,1598.0747142570017
