mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,566.6931715644223,1173.766053723471,1229.4583476741575
mps-uncap,0.9,620.8862947639396,1346.2227295938803,1313.2170718411935
mps-uncap,1.0,711.7578858301838,1312.0545146407992,1305.1612870533256
mps-uncap,0.5,352.0891904277256,756.8417788391797,796.1119958744882
mps-uncap,0.6,420.19585289518005,828.9344906901453,903.2126407401156
mps-uncap,0.7,503.0200940399608,1062.4568972026354,1031.2755331132084
mps-uncap,0.1,68.46666584589205,168.2576879122233,156.87208501413693
mps-uncap,0.2,143.05039810617635,298.9772873999419,300.1100645640995
mps-uncap,0.3,220.2043925543584,438.60962008721003,444.92840231844417
mps-uncap,0.4,296.6968589188555,585.9706807627061,625.0076665013548
