mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,4.911661148071289,4.099607467651367,19.469738006591797
mps-uncap,0.9,4.976749420166016,4.18543815612793,20.10631561279297
mps-uncap,1.0,4.920005798339844,4.537343978881836,20.404815673828125
mps-uncap,0.5,4.828929901123047,4.179716110229492,19.1497802734375
mps-uncap,0.6,4.7893524169921875,4.098176956176758,19.159793853759766
mps-uncap,0.7,4.819631576538086,4.160404205322266,19.3784236907959
mps-uncap,0.1,6.399631500244141,5.368709564208984,19.31905746459961
mps-uncap,0.2,5.375862121582031,5.250215530395508,19.161462783813477
mps-uncap,0.3,4.871368408203125,4.352092742919922,19.194364547729492
mps-uncap,0.4,4.828453063964844,4.082202911376953,18.978118896484375
