mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,36.16786003112793,30.67469596862793,30.85184097290039
mps-uncap,0.9,35.02321243286133,32.544851303100586,33.32710266113281
mps-uncap,1.0,36.125898361206055,36.22269630432129,35.97235679626465
mps-uncap,0.5,30.225038528442383,28.569459915161133,27.568578720092773
mps-uncap,0.6,27.814626693725586,29.04796600341797,28.423309326171875
mps-uncap,0.7,28.9914608001709,31.311988830566406,29.366731643676758
mps-uncap,0.1,32.96303749084473,32.80830383300781,33.120155334472656
mps-uncap,0.2,27.506589889526367,27.662277221679688,27.4355411529541
mps-uncap,0.3,27.016878128051758,27.6639461517334,28.223276138305664
mps-uncap,0.4,28.522253036499023,29.20818328857422,28.8088321685791
