mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,24.68852996826172,24.77707862854004,24.84745979309082
mps-uncap,0.9,24.718642234802246,25.01640319824219,25.041961669921875
mps-uncap,1.0,24.752306938171387,25.162220001220703,25.147008895874023
mps-uncap,0.5,22.826194763183594,22.34935760498047,23.904037475585938
mps-uncap,0.6,22.27950096130371,23.519515991210938,24.084806442260742
mps-uncap,0.7,23.879575729370117,24.483036994934082,24.60460662841797
mps-uncap,0.1,12.575268745422365,10.312747955322266,27.65212059020996
mps-uncap,0.2,17.937994003295906,16.84014797210692,23.421120643615726
mps-uncap,0.3,19.905376434326172,20.146226882934574,23.58546257019043
mps-uncap,0.4,21.01757526397705,21.531224250793457,23.830461502075195
