mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,4.885673522949219,4.0435791015625,19.458293914794922
mps-uncap,0.9,4.896402359008789,4.083395004272461,19.70672607421875
mps-uncap,1.0,4.901409149169922,4.518747329711914,19.838333129882812
mps-uncap,0.5,4.812955856323242,4.133939743041992,19.127368927001953
mps-uncap,0.6,4.745960235595703,4.06646728515625,19.132614135742188
mps-uncap,0.7,4.797697067260742,4.105329513549805,19.35124397277832
mps-uncap,0.1,5.956172943115234,5.342960357666016,19.29473876953125
mps-uncap,0.2,4.992485046386719,5.228757858276367,19.118070602416992
mps-uncap,0.3,4.820108413696289,4.139900207519531,19.170045852661133
mps-uncap,0.4,4.786252975463867,4.057407379150391,18.95618438720703
