mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,29.082689285278313,27.212138175964352,27.315454483032223
mps-uncap,0.9,28.348870277404785,26.643300056457516,26.74795150756835
mps-uncap,1.0,26.5545916557312,25.871925354003906,26.01149559020996
mps-uncap,0.5,26.08203887939453,26.29268169403076,26.43270969390869
mps-uncap,0.6,25.62028408050537,26.474475860595703,26.628398895263672
mps-uncap,0.7,25.90975522994995,27.504749298095703,26.953749656677246
mps-uncap,0.1,28.771240711212158,23.520507812500057,31.987257003784187
mps-uncap,0.2,23.522825241088857,25.235438346862765,26.433646678924557
mps-uncap,0.3,23.82697105407715,25.972309112548828,25.955185890197747
mps-uncap,0.4,24.394855499267578,25.990176200866703,26.35259628295898
