mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,36.8189811706543,39.85631465911865,107.06555843353271
mps-uncap,0.9,72.3104476928711,384.83262062072754,454.4093608856201
mps-uncap,1.0,819.4220066070557,2846.4417457580566,3440.885305404663
mps-uncap,0.5,12.803077697753906,11.610031127929688,25.569438934326172
mps-uncap,0.6,14.524459838867188,14.61482048034668,29.685258865356445
mps-uncap,0.7,18.924832344055176,19.45805549621582,41.20349884033203
mps-uncap,0.1,11.225581169128418,9.513139724731445,21.9576358795166
mps-uncap,0.2,11.047124862670898,9.531497955322266,21.81708812713623
mps-uncap,0.3,10.800838470458984,9.518861770629883,22.37558364868164
mps-uncap,0.4,10.689973831176758,9.46187973022461,23.122310638427734
