mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,241.1257982254028,191.82154417037947,419.6144700050354
mps-uncap,0.9,326.05876207351685,1180.442223548889,1923.616099357603
mps-uncap,1.0,2075.2037382125854,7244.144814014435,8477.221946716309
mps-uncap,0.5,40.59112071990967,35.86983680725098,94.47880744934089
mps-uncap,0.6,39.35729503631592,53.649187088012695,103.55553627014154
mps-uncap,0.7,92.22934007644642,115.81471443176271,169.60979938507072
mps-uncap,0.1,7.574155330657959,10.995151996612616,25.269536972045906
mps-uncap,0.2,14.186100959777766,8.973693847656167,28.21644544601438
mps-uncap,0.3,16.214351654052727,14.761972427368162,42.16322422027584
mps-uncap,0.4,22.100911140441898,21.26065492630006,62.49442338943474
