mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,0.010251998901367188,0.011444091796875,0.010967254638671875
mps-uncap,0.9,0.012159347534179688,0.012159347534179688,0.011920928955078125
mps-uncap,1.0,0.01239776611328125,0.011920928955078125,0.010728836059570312
mps-uncap,0.5,0.011205673217773438,0.011444091796875,0.011205673217773438
mps-uncap,0.6,0.011444091796875,0.010251998901367188,0.009059906005859375
mps-uncap,0.7,0.009775161743164062,0.011444091796875,0.011205673217773438
mps-uncap,0.1,0.015020370483398438,0.0152587890625,0.011682510375976562
mps-uncap,0.2,0.014781951904296875,0.012636184692382812,0.010967254638671875
mps-uncap,0.3,0.012159347534179688,0.011444091796875,0.010013580322265625
mps-uncap,0.4,0.011444091796875,0.011920928955078125,0.011205673217773438
