mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,280.41529655456543,251.76525115966797,481.68230056762695
mps-uncap,0.9,401.1807441711426,1281.287431716919,2025.0933170318604
mps-uncap,1.0,2122.0414638519287,7394.8163986206055,8545.843362808228
mps-uncap,0.5,63.001394271850586,57.086944580078125,208.38570594787598
mps-uncap,0.6,56.516170501708984,81.39324188232422,131.5443515777588
mps-uncap,0.7,123.27861785888672,148.63896369934082,262.32099533081055
mps-uncap,0.1,9.181499481201172,32.660722732543945,27.218341827392578
mps-uncap,0.2,20.656108856201172,19.56915855407715,33.91623497009277
mps-uncap,0.3,30.192852020263672,28.8083553314209,86.1213207244873
mps-uncap,0.4,35.78448295593262,38.01321983337402,92.98324584960938
