mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_small-32,2_vgg16-32
mps-uncap,0.8,146.2547779083252,129.75237369537354,294.6683168411256
mps-uncap,0.9,238.6837005615235,1020.9132194519044,1653.9735317230225
mps-uncap,1.0,1597.3199605941775,6661.31136417389,7483.754634857178
mps-uncap,0.5,30.75098991394043,27.74977684020996,61.17997169494629
mps-uncap,0.6,33.01525115966797,35.15124320983887,68.49408149719238
mps-uncap,0.7,53.50131988525391,56.642484664917,109.00883674621585
mps-uncap,0.1,15.792322158813477,12.924003601074224,30.356597900390625
mps-uncap,0.2,20.110511779785156,17.85564422607421,34.36980247497559
mps-uncap,0.3,21.31795883178711,21.187686920166016,40.90528488159179
mps-uncap,0.4,22.57506847381592,23.929238319396973,46.142292022705085
