mode,load,0_mobilenet_v3_large-8,1_resnet18-16,2_vgg19-32
mps-uncap,0.8,269.1389614785456,755.0348129752674,991.9410476928381
mps-uncap,0.9,305.3990356204138,856.9503814734417,1148.3179125781307
mps-uncap,1.0,326.8594166603858,936.0352108753139,1265.5448273635382
mps-uncap,0.5,161.93439506987988,478.0391848363792,636.017130679231
mps-uncap,0.6,200.71625582221682,568.8748290455759,745.7397593779256
mps-uncap,0.7,234.2964961701847,661.6751380715441,874.4687398743674
mps-uncap,0.1,32.23946841287792,99.07508279279833,133.2156406049776
mps-uncap,0.2,62.101199750283776,185.7670945123338,231.86295583079306
mps-uncap,0.3,95.08319506689035,279.502577841304,380.99437340835823
mps-uncap,0.4,131.5362339735575,351.80844795065093,532.833434620583
