mode,load,0_mobilenet_v3_large-8,1_resnet18-16,2_vgg19-32
mps-uncap,0.8,288.8152599334717,131.38437271118164,379.5797824859619
mps-uncap,0.9,206.3596248626709,214.45035934448242,372.5707530975342
mps-uncap,1.0,510.9713077545166,562.6907348632812,1580.9683799743652
mps-uncap,0.5,62.9427433013916,57.08718299865723,128.01527976989746
mps-uncap,0.6,79.99253273010254,83.79173278808594,156.19826316833496
mps-uncap,0.7,98.74963760375977,110.48483848571777,227.58030891418457
mps-uncap,0.1,22.382497787475586,20.871877670288086,41.71013832092285
mps-uncap,0.2,26.753902435302734,22.830724716186523,59.65852737426758
mps-uncap,0.3,39.858102798461914,38.14077377319336,86.20405197143555
mps-uncap,0.4,44.347286224365234,42.932987213134766,71.82836532592773
