mode,load,0_vgg19-32,1_mobilenet_v3_small-2,2_vgg11-8
mps-uncap,1.0,1051.65930397852,84.17717171457458,594.9854818215362
mig,1.0,648.7656244684866,490.1166712353974,673.1682255586069
