mode,load,0_efficientnet_b5-32,1_efficientnet_b5-32,2_efficientnet_b5-32,3_efficientnet_b5-32
mig,0.1,26.750316604648294,38.2468970269307,36.933077256338485,15.899315529316302
mig,0.2,72.20174494538549,57.89058962767059,79.74034123471088,36.78160197100201
mig,0.3,94.57796842269154,116.77016172917074,105.507409470852,52.17078269937232
mig,0.4,144.2441593957632,124.50731553095727,141.92698207037807,66.8311485661491
mig,0.5,153.48601108568616,171.7269265591165,153.37170889857256,88.96958708007418
mig,0.6,195.76503503927086,203.14481017830906,216.30209024357654,97.46079233173081
mig,0.7,245.44354105729832,242.62201974594717,270.4780664066509,115.04028324293198
mig,0.8,268.2783290023316,281.7777535465534,286.97774950737596,128.05780146012964
mig,0.9,298.25750697651694,286.63709289902323,299.91662633752014,148.14344816172598
mig,1.0,302.50969695302456,302.2905100464958,300.38399091459723,154.6307794919137
