mode,load,0_mobilenet_v3_large-2,1_resnet50-2,2_vgg13-16
mps-uncap,0.8,4.7016143798828125,4.677057266235352,8.436203002929688
mps-uncap,0.9,4.714012145996094,4.531621932983398,8.548498153686523
mps-uncap,1.0,4.950761795043945,10.965108871459961,8.992910385131836
mps-uncap,0.5,4.758119583129883,4.575014114379883,8.30078125
mps-uncap,0.6,4.703760147094727,4.639387130737305,8.324384689331055
mps-uncap,0.7,4.819393157958984,4.622459411621094,8.470535278320312
mps-uncap,0.1,5.282878875732422,5.444049835205078,8.47315788269043
mps-uncap,0.2,4.754304885864258,4.730939865112305,8.331537246704102
mps-uncap,0.3,4.739999771118164,4.625558853149414,8.324384689331055
mps-uncap,0.4,4.776477813720703,4.618167877197266,8.268117904663086
