mode,load,0_mobilenet_v3_large-2,1_resnet50-2,2_vgg13-16
mps-uncap,0.8,143.8157418335083,104.3502015583806,1436.8590804191958
mps-uncap,0.9,163.60699435941336,118.06310449449461,1603.8734343354288
mps-uncap,1.0,179.06002079756647,128.9351080557531,1624.0651354532195
mps-uncap,0.5,90.31813910125574,64.55790941073536,896.3057564283695
mps-uncap,0.6,105.77348359068732,78.56570368312158,1062.6701706698866
mps-uncap,0.7,125.16876470966864,87.65119344284216,1258.3841237530905
mps-uncap,0.1,17.93891313888521,13.480871440364739,180.60657140518853
mps-uncap,0.2,36.37466739859112,26.77946104973415,367.6372515760494
mps-uncap,0.3,57.74864565362049,37.42938597074289,518.7763034831739
mps-uncap,0.4,69.70875705978429,50.68333376406819,710.7929173006487
