mode,load,0_alexnet-8,1_alexnet-8,2_alexnet-8,3_alexnet-8
mig,0.1,6.746530532836914,7.702827453613281,9.252071380615234,8.73875617980957
mig,0.2,13.462305068969727,12.289762496948242,12.696981430053711,19.573211669921875
mig,0.3,15.644073486328125,15.2130126953125,16.59393310546875,19.98424530029297
mig,0.4,18.442869186401367,35.62211990356445,19.163131713867188,26.367902755737305
mig,0.5,24.49321746826172,21.8045711517334,19.070863723754883,35.27522087097168
mig,0.6,27.069807052612305,31.564950942993164,37.15109825134277,45.355796813964844
mig,0.7,43.53928565979004,45.13382911682129,44.603824615478516,92.34929084777832
mig,0.8,58.397769927978516,71.40326499938965,59.572696685791016,95.48521041870117
mig,0.9,198.5793113708496,284.5304012298584,607.3422431945801,1445.0559616088867
mig,1.0,6059.809923171997,6434.985637664795,6224.186658859253,6891.189336776733
