mode,load,0_alexnet-8,1_alexnet-8,2_alexnet-8,3_alexnet-8
mig,0.1,332.85890613250274,335.70909634597746,331.98928673008186,182.23716808347757
mig,0.2,668.8983662893783,683.098400425862,660.8906688409527,349.2569239706658
mig,0.3,1001.4301637332966,1007.9837681500654,985.625691595979,551.8747655077204
mig,0.4,1317.0344583510105,1319.739490266639,1306.0159861830214,730.6029169522419
mig,0.5,1652.9253597674713,1711.0582805056004,1687.9893715845499,923.80642974039
mig,0.6,2026.8541452626578,1976.4817790875215,1991.353403903811,1106.0108742429816
mig,0.7,2266.125450350125,2361.825692387464,2316.295958432854,1305.4626383283016
mig,0.8,2690.407889193905,2650.6579357540763,2573.856702251875,1462.2557503401497
mig,0.9,2957.7450978413,2968.368209913508,2967.4452275636986,1633.5488788453044
mig,1.0,3000.22494325,2984.1779906677016,2972.8810382980796,1635.8035043188843
