mode,load,0_efficientnet_b6-8,1_vgg11-32,2_vgg16-4
mps-uncap,0.8,102.72271871566774,17.21501350402832,17.77036666870118
mps-uncap,0.9,105.25123596191406,16.807484626770016,18.90965700149536
mps-uncap,1.0,107.82512187957764,16.710176467895508,19.04604434967041
mps-uncap,0.5,73.60053539276123,16.728205680847168,15.363192558288572
mps-uncap,0.6,84.96824502944946,17.405767440795902,15.943217277526852
mps-uncap,0.7,96.49986743927,17.352914810180664,16.668934822082516
mps-uncap,0.1,43.868348598480225,20.607442855834968,17.761538028717048
mps-uncap,0.2,47.74872064590455,16.71665668487549,13.582019805908203
mps-uncap,0.3,50.72720527648926,17.166748046874996,14.053971767425537
mps-uncap,0.4,56.58818244934082,16.565992832183838,14.254345893859865
