mode,load,0_efficientnet_b6-8,1_vgg11-32,2_vgg16-4
mps-uncap,0.8,62.76036069514202,1866.537086461856,223.31986618741084
mps-uncap,0.9,67.78917422465956,2170.9637914732157,239.71718818528902
mps-uncap,1.0,76.77688701786197,2130.2175698326982,266.84953073814467
mps-uncap,0.5,41.23817827876039,1188.354963348783,132.22337023661393
mps-uncap,0.6,47.01947388970744,1408.6491462010526,163.07870922885104
mps-uncap,0.7,59.6426125103871,1627.7316952539336,188.1119391270684
mps-uncap,0.1,8.702580324589432,243.45412432973572,27.30018602914281
mps-uncap,0.2,13.955979261503193,483.4366008245984,55.46997898574707
mps-uncap,0.3,24.07904575641239,687.1193934586487,84.91216299304037
mps-uncap,0.4,28.477099756324527,941.7179104425368,111.38002644068138
