mode,load,0_resnet152-32,1_resnet152-8,2_resnet18-8
mps-uncap,0.6,191.2996768951416,178.84182929992676,70.00231742858887
mig,0.6,401.902437210083,197.84069061279297,45.04251480102539
mps-uncap,0.7,201.72953605651855,175.39644241333008,104.98762130737305
mig,0.7,465.41452407836914,395.965576171875,54.225921630859375
mps-uncap,0.8,265.6576633453369,431.3483238220215,408.86878967285156
mig,0.8,588.2196426391602,336.9753360748291,71.9454288482666
mps-uncap,0.9,352.27441787719727,510.0836753845215,526.7105102539062
mig,0.9,708.1429958343506,531.6541194915771,157.2425365447998
mps-uncap,1.0,480.8976650238037,2286.0677242279053,6844.782829284668
mig,1.0,1822.6232528686523,2561.965227127075,411.7429256439209
mps-uncap,1.1,611.6938591003418,15944.572687149048,21268.880128860474
mig,1.1,8694.375038146973,9081.658363342285,5986.54317855835
mps-uncap,1.2,642.0512199401855,25184.133768081665,30410.653829574585
mig,1.2,16854.934453964233,15055.73034286499,14925.054788589478
mps-uncap,1.3,870.835542678833,31305.801153182983,37062.02721595764
mig,1.3,20233.32667350769,18956.55393600464,20743.139505386353
