mode,load,0_resnet152-32,1_resnet152-8,2_resnet18-8
mps-uncap,0.6,156.20994567871094,146.14057540893555,65.40393829345703
mig,0.6,344.56443786621094,171.18549346923828,40.88258743286133
mps-uncap,0.7,165.09604454040527,138.61846923828125,99.46274757385254
mig,0.7,408.3249568939209,370.0134754180908,50.06980895996094
mps-uncap,0.8,225.2664566040039,404.59704399108887,403.2740592956543
mig,0.8,527.9686450958252,310.90569496154785,67.64435768127441
mps-uncap,0.9,312.0543956756592,471.7087745666504,521.0621356964111
mig,0.9,650.5336761474609,504.3749809265137,152.82082557678223
mps-uncap,1.0,440.077543258667,2265.155553817749,6839.624643325806
mig,1.0,1764.8277282714844,2535.219430923462,407.3042869567871
mps-uncap,1.1,571.232795715332,15928.453922271729,21264.23668861389
mig,1.1,8636.586427688599,9054.913520812988,5982.146978378296
mps-uncap,1.2,601.5331745147705,25153.52463722229,30398.677349090576
mig,1.2,16797.835111618042,15029.25419807434,14920.608043670654
mps-uncap,1.3,830.5504322052002,31281.590461730957,37046.401262283325
mig,1.3,20175.08816719055,18927.626609802246,20733.391046524048
