mode,load,0_resnet152-32,1_resnet152-8,2_resnet18-8
mps-uncap,0.6,42.03219413757325,30.93242645263672,6.245732307434082
mig,0.6,59.32455062866211,27.27975845336914,5.039024353027344
mps-uncap,0.7,40.35193920135498,35.71176528930664,6.396484375000001
mig,0.7,59.069156646728516,27.268314361572266,4.9736976623535165
mps-uncap,0.8,40.68279266357422,37.026429176330566,6.69550895690918
mig,0.8,59.15484428405762,27.268290519714355,4.8475980758667
mps-uncap,0.9,40.74430465698242,37.30158805847168,6.827116012573242
mig,0.9,58.931732177734375,27.30116844177246,4.717350006103516
mps-uncap,1.0,40.92240333557129,37.542009353637695,7.207393646240235
mig,1.0,58.26215744018555,26.920509338378906,4.557132720947266
mps-uncap,1.1,40.95711708068848,37.897539138793945,8.352041244506836
mig,1.1,58.22548866271973,26.909923553466797,4.566550254821777
mps-uncap,1.2,40.896010398864746,38.09370994567871,9.41164493560791
mig,1.2,58.278846740722656,26.955795288085938,4.563331604003906
mps-uncap,1.3,40.98238945007324,38.115692138671875,9.917449951171875
mig,1.3,59.54792499542236,27.260971069335938,4.5757293701171875
