mode,load,0_resnet152-32,1_resnet152-8,2_resnet18-8
mps-uncap,0.6,339.04597122054315,175.88269043983567,1047.950928715659
mig,0.6,335.0412629188495,180.3250217420219,1067.9846826515316
mps-uncap,0.7,382.9410097118386,202.6225419506008,1230.1598575390026
mig,0.7,381.6639680311814,213.58092384553657,1220.637523054628
mps-uncap,0.8,443.0831979585648,232.82005647166199,1414.7118126909766
mig,0.8,416.65897670621337,233.9690310776577,1383.737174823984
mps-uncap,0.9,495.6563390880185,270.40211123435574,1595.536049175749
mig,0.9,489.6580320369477,267.15310121976523,1606.464569453232
mps-uncap,1.0,565.8788384663526,297.50034288513433,1643.6890398737828
mig,1.0,547.2750106035173,299.41618685576077,1767.4218977830442
mps-uncap,1.1,634.5235604493456,271.99273942207753,1498.7742330847848
mig,1.1,548.0635763930288,299.21068111693484,1794.2460825302333
mps-uncap,1.2,666.0872599608415,259.9283108121216,1431.1089553867375
mig,1.2,551.8281726046602,299.08328730301787,1794.1402852991855
mps-uncap,1.3,708.5983108296474,247.02445821436925,1360.307075342724
mig,1.3,551.1151572965605,298.1369802760403,1789.9095678093206
