mode,load,0_mobilenet_v3_small-2,1_resnet18-32,2_vgg11-8
mps-uncap,0.8,9.49549674987793,9.828805923461914,6.381988525390625
mps-uncap,0.9,9.548187255859375,9.987354278564453,6.579160690307617
mps-uncap,1.0,11.274337768554688,10.402202606201172,6.4411163330078125
mps-uncap,0.5,8.945465087890625,9.293079376220703,6.200075149536133
mps-uncap,0.6,8.929252624511719,9.540557861328125,6.261587142944336
mps-uncap,0.7,9.15670394897461,9.803056716918945,6.420135498046875
mps-uncap,0.1,8.080482482910156,8.490324020385742,6.093263626098633
mps-uncap,0.2,9.069442749023438,10.342121124267578,6.000280380249023
mps-uncap,0.3,9.046792984008789,8.867263793945312,6.024360656738281
mps-uncap,0.4,8.934974670410156,8.861780166625977,6.18290901184082
