mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,11.854410171508789,5.7937145233154315,20.604562759399414
mps-uncap,0.9,13.004803657531738,5.583286285400391,20.996570587158203
mps-uncap,1.0,13.298273086547852,5.91883659362793,21.2094783782959
mps-uncap,0.5,12.117862701416016,6.452584266662598,18.50438117980957
mps-uncap,0.6,12.059450149536133,5.573987960815431,19.147515296936035
mps-uncap,0.7,11.580705642700195,5.603599548339844,20.023012161254883
mps-uncap,0.1,12.890172004699707,7.845234870910645,18.0600643157959
mps-uncap,0.2,12.72718906402588,7.514214515686035,18.101859092712402
mps-uncap,0.3,13.413548469543457,7.689547538757324,18.11764240264893
mps-uncap,0.4,13.085460662841797,7.3420047760009775,18.024206161499023
