mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,9.918689727783203,4.2266845703125,18.538475036621094
mps-uncap,0.9,11.25335693359375,4.156589508056641,19.752025604248047
mps-uncap,1.0,12.372374534606934,4.543304443359375,20.811915397644043
mps-uncap,0.5,9.567737579345703,4.677295684814453,16.396522521972656
mps-uncap,0.6,9.238719940185547,4.163622856140137,16.822218894958496
mps-uncap,0.7,9.339332580566406,4.091501235961914,17.66180992126465
mps-uncap,0.1,12.250661849975586,7.291078567504883,17.7001953125
mps-uncap,0.2,11.94608211517334,6.973505020141602,15.89977741241455
mps-uncap,0.3,12.032389640808105,6.761074066162109,16.157865524291992
mps-uncap,0.4,10.199546813964844,5.105495452880859,15.894412994384766
