mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,12.434053421020508,6.9053316116333,21.046571731567383
mps-uncap,0.9,13.436486721038818,6.50579929351807,21.363120079040527
mps-uncap,1.0,13.62544298171997,6.710453033447262,21.466541290283203
mps-uncap,0.5,13.717966079711916,7.532749176025391,20.038557052612305
mps-uncap,0.6,13.409709930419924,6.842927932739249,20.48225402832031
mps-uncap,0.7,12.297546863555906,6.736397743225092,20.829105377197266
mps-uncap,0.1,13.57913017272949,8.033392429351807,18.93462181091309
mps-uncap,0.2,13.675916194915771,8.105645179748535,19.026973247528076
mps-uncap,0.3,14.150516986846922,8.364603519439695,19.007792472839355
mps-uncap,0.4,13.906550407409666,8.089418411254885,19.44078207015991
