mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,47.35088348388672,77.73923873901367,169.96264457702637
mps-uncap,0.9,150.0840187072754,85.79373359680176,242.62070655822754
mps-uncap,1.0,531.1357975006104,315.95444679260254,996.5717792510986
mps-uncap,0.5,34.66606140136719,22.32050895690918,58.85434150695801
mps-uncap,0.6,45.7155704498291,28.98693084716797,71.32744789123535
mps-uncap,0.7,69.19479370117188,49.76201057434082,115.22269248962402
mps-uncap,0.1,18.299102783203125,9.549617767333984,15.15650749206543
mps-uncap,0.2,24.475574493408203,26.2296199798584,31.28647804260254
mps-uncap,0.3,30.604839324951172,28.989791870117188,44.31343078613281
mps-uncap,0.4,39.44206237792969,33.70857238769531,51.04660987854004
