mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,4.838705062866211,2.773761749267578,13.867378234863281
mps-uncap,0.9,4.791736602783203,2.800464630126953,14.017343521118164
mps-uncap,1.0,4.9648284912109375,2.8111934661865234,14.364480972290039
mps-uncap,0.5,4.947900772094727,2.7320384979248047,13.90218734741211
mps-uncap,0.6,4.845619201660156,2.767801284790039,13.813257217407227
mps-uncap,0.7,4.888057708740234,2.7611255645751953,13.936281204223633
mps-uncap,0.1,4.932641983032227,2.881765365600586,13.898849487304688
mps-uncap,0.2,4.865407943725586,2.775907516479492,13.875961303710938
mps-uncap,0.3,4.926443099975586,2.8641223907470703,13.870716094970703
mps-uncap,0.4,4.900217056274414,2.8314590454101562,13.886451721191406
