mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,46.47033214569091,47.51082420349118,145.80530166626016
mps-uncap,0.9,125.27311801910402,61.08973026275638,220.65601825714094
mps-uncap,1.0,480.2852272987366,281.88752174377424,865.8149719238281
mps-uncap,0.5,31.96653366088874,19.78178977966307,55.18708229064941
mps-uncap,0.6,36.36169433593752,20.073194503784176,69.29231882095335
mps-uncap,0.7,49.68008995056151,30.63931941986059,104.9821615219115
mps-uncap,0.1,23.950395584106445,14.126112461090086,28.515157699585043
mps-uncap,0.2,26.17565631866448,18.99455070495612,34.446120262145996
mps-uncap,0.3,30.53440809249876,22.00059175491333,41.7163896560669
mps-uncap,0.4,33.76548767089843,21.15875244140627,41.845798492431626
