mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,4.904031753540039,2.8226375579833984,13.89312744140625
mps-uncap,0.9,4.892587661743164,2.8362274169921875,14.048099517822266
mps-uncap,1.0,5.052804946899414,2.8951168060302734,14.51563835144043
mps-uncap,0.5,5.035161972045898,2.7785301208496094,13.936042785644531
mps-uncap,0.6,4.92095947265625,2.8107166290283203,13.84115219116211
mps-uncap,0.7,4.935741424560547,2.8047561645507812,13.966083526611328
mps-uncap,0.1,5.017995834350586,2.9196739196777344,13.913154602050781
mps-uncap,0.2,4.887580871582031,2.8619766235351562,13.899803161621094
mps-uncap,0.3,5.030632019042969,2.8922557830810547,13.911008834838867
mps-uncap,0.4,4.959583282470703,2.899169921875,13.935565948486328
