mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,507.8820901353716,1284.0124465939941,597.5314837590133
mps-uncap,0.9,575.0564667718744,1499.6681280592381,667.2448151142772
mps-uncap,1.0,627.5855773356498,1655.2958232940796,749.4311007077139
mps-uncap,0.5,314.64042629363075,801.6833837936039,369.8538343703051
mps-uncap,0.6,375.92644517182185,1007.1765361152528,472.19429161259626
mps-uncap,0.7,431.76263173640217,1130.621834356681,540.9744050227562
mps-uncap,0.1,66.60471021185877,161.4226363812852,75.56993362293207
mps-uncap,0.2,124.7453270226841,319.65317499028316,136.24632084300336
mps-uncap,0.3,190.80388536689588,493.22916982329485,220.3184963094021
mps-uncap,0.4,253.49893073642983,657.5102279408917,283.2613756940266
