mode,load,0_mobilenet_v3_large-32,1_squeezenet1_1-2,2_vgg13-16
mps-uncap,0.8,1244.3817773856745,179.295253318659,1258.00118341128
mps-uncap,0.9,1435.4765554478654,200.10542723651398,1446.6022241629219
mps-uncap,1.0,1582.366609695651,219.47598328599176,1584.5224427816836
mps-uncap,0.5,788.6439305393175,109.57991906978329,760.6468008999609
mps-uncap,0.6,976.054750748034,138.2952169620776,983.3836587472125
mps-uncap,0.7,1093.2235019822147,157.07531024412802,1088.8428308806554
mps-uncap,0.1,162.32523920338684,22.177549329531743,167.91026955491432
mps-uncap,0.2,312.89815680078544,45.54706523921029,332.86433706888585
mps-uncap,0.3,491.9755705607328,66.37630458327226,490.06940054453065
mps-uncap,0.4,642.074630764799,87.83075614892985,618.5444403866511
