mode,load,0_alexnet-8,1_densenet121-4,2_vgg13-8
mps-uncap,0.8,4.211950302124023,32.83212184906006,7.0858001708984375
mps-uncap,0.9,4.291844367980958,34.728050231933594,7.064104080200195
mps-uncap,1.0,4.283428192138672,35.92371940612793,7.079839706420898
mps-uncap,0.5,3.847718238830566,23.61583709716797,6.702733039855957
mps-uncap,0.6,4.0869951248168945,20.979881286621094,7.070136070251466
mps-uncap,0.7,4.0833234786987305,29.454588890075684,6.99458122253418
mps-uncap,0.1,2.368426322937012,27.734041213989258,7.303571701049805
mps-uncap,0.2,2.7883052825927734,27.620911598205566,6.271600723266602
mps-uncap,0.3,3.347158432006837,24.188518524169922,6.386184692382813
mps-uncap,0.4,3.7023782730102544,22.87776470184326,6.60552978515625
