mode,load,0_alexnet-8,1_densenet121-4,2_vgg13-8
mps-uncap,0.8,38.719410896301234,167.85540103912336,99.88600492477407
mps-uncap,0.9,151.52910709381104,726.104736328125,166.64683818817105
mps-uncap,1.0,5865.460901260376,6124.9022006988525,6469.9260234832755
mps-uncap,0.5,9.551522731781008,44.45668220520011,24.61062192916871
mps-uncap,0.6,16.778912544250485,47.27768898010262,42.03188419342041
mps-uncap,0.7,18.20457935333251,102.6350903511047,46.983642578125
mps-uncap,0.1,5.331313610076908,39.18790817260742,13.050081729888916
mps-uncap,0.2,5.285978317260738,47.095558643341086,13.9099645614624
mps-uncap,0.3,6.322317123413081,45.60965299606323,16.07378005981445
mps-uncap,0.4,8.054592609405518,43.02736282348632,20.59228658676147
