mode,load,0_inception_v3-16,1_densenet121-8,2_densenet169-4
mps-uncap,1.0,1451.8342269932061,647.7522572555982,224.5740386414451
mig,1.0,1362.6540523633953,546.7112554909697,234.77435637694282
