mode,load,0_squeezenet1_0-32,1_vgg13-8,2_vgg13-8
mps-uncap,0.6,1371.7295855300013,272.7289837758293,270.40867905499584
mig,0.6,1409.6424107304692,276.32989082359165,273.8760023473029
mps-uncap,0.7,1674.7630843441082,321.5013933875944,327.7821692036767
mig,0.7,1632.4362479546014,322.0592501380696,317.4998932950125
mps-uncap,0.8,1829.905553834429,369.0089645339375,358.52743341165444
mig,0.8,1834.1359751140874,368.74180449767994,378.8821478243102
mps-uncap,0.9,2111.053443270653,420.20147936637306,412.7437911186309
mig,0.9,2089.2073416492367,424.770599316942,423.5484304704673
mps-uncap,1.0,2293.722422525047,473.17728245248674,466.23379528717163
mig,1.0,2310.1264074027395,455.27547542884815,449.52734430323886
mps-uncap,1.1,2210.8064746751324,504.37996515653253,506.7973296288942
mig,1.1,2346.931091160422,464.89788628526975,463.2704635405717
mps-uncap,1.2,2012.856208736229,538.1233799236031,553.1852418487275
mig,1.2,2353.430610342639,465.45121197926704,465.16921358656043
mps-uncap,1.3,1778.7305645111894,581.901770649427,609.6115475166752
mig,1.3,2346.4618885157797,465.891313904967,465.1577535378676
