mode,load,0_squeezenet1_0-32,1_vgg13-8,2_vgg13-8
mps-uncap,0.6,8.642911911010742,7.0427656173706055,6.98399543762207
mig,0.6,12.775659561157227,16.578197479248047,16.628503799438477
mps-uncap,0.7,9.470701217651367,7.7972412109375,7.542610168457031
mig,0.7,12.825608253479004,16.60454273223877,16.639351844787598
mps-uncap,0.8,10.546326637268066,8.243799209594727,8.349418640136719
mig,0.8,12.973785400390625,16.756296157836914,16.771316528320312
mps-uncap,0.9,11.271476745605469,9.127140045166016,9.244441986083984
mig,0.9,13.144731521606445,16.88528060913086,16.925573348999023
mps-uncap,1.0,13.143658638000488,10.78808307647705,10.599613189697266
mig,1.0,13.323068618774414,17.029762268066406,17.072081565856934
mps-uncap,1.1,14.231681823730469,11.057257652282715,11.337757110595703
mig,1.1,13.354778289794922,17.057180404663086,17.12214946746826
mps-uncap,1.2,16.49188995361328,11.670589447021484,11.378645896911621
mig,1.2,13.356208801269531,17.041444778442383,17.08221435546875
mps-uncap,1.3,19.11759376525879,11.72494888305664,11.8483304977417
mig,1.3,13.339042663574219,17.02570915222168,17.061233520507812
