mode,load,0_densenet161-4,1_densenet169-4,2_squeezenet1_0-32
mps-uncap,0.8,99.38825419641951,101.04539493187843,3741.879660379897
mps-uncap,0.9,114.687159745691,121.7835064123112,4071.860179069192
mps-uncap,1.0,126.20650964943775,133.2240943790285,4015.4161784368484
mps-uncap,0.5,64.29526668312846,65.6429048533199,2345.1040806899205
mps-uncap,0.6,73.35346830211694,80.29180708803257,2784.718792477062
mps-uncap,0.7,86.98598543420714,91.92978313390347,3264.1933014405213
mps-uncap,0.1,11.854262857018112,12.920710774998843,465.868342090329
mps-uncap,0.2,22.999370965115034,23.74297608559332,932.0652236242073
mps-uncap,0.3,37.27416898059762,41.741069163515256,1391.286679576819
mps-uncap,0.4,50.8913976513049,49.1527904714279,1855.328246302411
