mode,load,0_densenet161-4,1_densenet169-4,2_squeezenet1_0-32
mps-uncap,0.8,35.48026084899902,29.577970504760742,14.973640441894531
mps-uncap,0.9,41.17131233215332,32.73344039916992,18.88298988342285
mps-uncap,1.0,33.27775001525879,44.10362243652344,19.53411102294922
mps-uncap,0.5,33.373355865478516,32.53459930419922,13.617992401123047
mps-uncap,0.6,33.35309028625488,28.336524963378906,15.866518020629883
mps-uncap,0.7,33.803701400756836,34.684181213378906,16.299724578857422
mps-uncap,0.1,41.585445404052734,41.07546806335449,13.879060745239258
mps-uncap,0.2,32.4857234954834,33.33568572998047,12.397050857543945
mps-uncap,0.3,30.940532684326172,33.138275146484375,20.280122756958008
mps-uncap,0.4,32.75585174560547,35.2320671081543,12.26806640625
