mode,load,0_densenet161-4,1_densenet169-4,2_squeezenet1_0-32
mps-uncap,0.8,0.01049041748046875,0.012159347534179688,0.010728836059570312
mps-uncap,0.9,0.01239776611328125,0.011682510375976562,0.011444091796875
mps-uncap,1.0,0.012159347534179688,0.012159347534179688,0.012159347534179688
mps-uncap,0.5,0.011682510375976562,0.012159347534179688,0.01049041748046875
mps-uncap,0.6,0.012159347534179688,0.011920928955078125,0.009775161743164062
mps-uncap,0.7,0.011682510375976562,0.011682510375976562,0.0095367431640625
mps-uncap,0.1,0.012636184692382812,0.015497207641601562,0.01239776611328125
mps-uncap,0.2,0.013113021850585938,0.01239776611328125,0.011205673217773438
mps-uncap,0.3,0.012159347534179688,0.012159347534179688,0.009059906005859375
mps-uncap,0.4,0.011920928955078125,0.012159347534179688,0.009059906005859375
