mode,load,0_densenet161-4,1_densenet169-4,2_squeezenet1_0-32
mps-uncap,0.8,217.62537956237793,160.92777252197266,199.95713233947754
mps-uncap,0.9,498.2759952545166,208.8637351989746,3663.3667945861816
mps-uncap,1.0,343.1217670440674,1573.4083652496338,9413.259506225586
mps-uncap,0.5,107.3770523071289,87.77785301208496,55.365800857543945
mps-uncap,0.6,144.3006992340088,93.76978874206543,77.38924026489258
mps-uncap,0.7,133.77881050109863,155.1799774169922,109.04073715209961
mps-uncap,0.1,47.18470573425293,55.45473098754883,25.779008865356445
mps-uncap,0.2,50.988197326660156,50.81629753112793,30.587196350097656
mps-uncap,0.3,61.437368392944336,54.10480499267578,43.993234634399414
mps-uncap,0.4,62.618255615234375,82.71431922912598,58.36749076843262
